ORDER_CRN,EOD_DATE,VENDOR,ORDER_SOURCE,SOURCE,BRAND_NAME,BRAND_CODE,CITY,STORE_CODE,STORE_NAME,ORDER_STATUS,PRODUCT_STATUS,ORDER_LINE_CODE,PRODUCT_DETAIL_CODE,PRODUCT_NAME,PRODUCT_CODE,KITCHEN_DESCRIPTION,ITEM_PRICE,PORTION_UNIT,CONVERSION_VALUE,INVENTORY_ITEM_ID,INVENTORY_ITEM_CODE,INVENTORY_NAME,QTY,INVENTORY_ITEM_PRICE,INVENTORY_ITEM_BASIC_PRICE,IDEALS,IDEAL_WACC,COUNT,PROD_QUANTITY,STATE,Area Manager,Zonal Manager
69412060980964,2026-04-04,own,POS,POS,Wendy's Burgers,BND760195795,City_001,STORE_001,Store_001,DELIVERED,routed,SUBP2694120600632494,PRD751167771,Product_001,PROD_001,Burger - Smoky Chipotle Chicken Burger,189.0,EACH,1.0,9402.0,INV_001,Inventory_001,1.0,2.78,2.51,2.78,2.51,1,1,Delhi,AreaManager_001,ZonalManager_001
69412060980964,2026-04-04,own,POS,POS,Wendy's Burgers,BND760195795,City_001,STORE_001,Store_001,DELIVERED,routed,SUBP2694120600632494,PRD751167771,Product_001,PROD_001,Burger - Smoky Chipotle Chicken Burger,189.0,EACH,1.0,9403.0,INV_002,Inventory_002,1.0,0.19,0.18,0.19,0.18,1,1,Delhi,AreaManager_001,ZonalManager_001
69412060980964,2026-04-04,own,POS,POS,Wendy's Burgers,BND760195795,City_001,STORE_001,Store_001,DELIVERED,routed,SUBP2694120600632494,PRD751167771,Product_001,PROD_001,Burger - Smoky Chipotle Chicken Burger,189.0,EACH,1.0,9418.0,INV_003,Inventory_003,1.0,0.67,0.61,0.67,0.61,1,1,Delhi,AreaManager_001,ZonalManager_001
69412060980964,2026-04-04,own,POS,POS,Wendy's Burgers,BND760195795,City_001,STORE_001,Store_001,DELIVERED,routed,SUBP2694120600632494,PRD751167771,Product_001,PROD_001,Burger - Smoky Chipotle Chicken Burger,189.0,EACH,1.0,9419.0,INV_004,Inventory_004,1.0,40.6,36.75,40.6,36.75,1,1,Delhi,AreaManager_001,ZonalManager_001
69412060980964,2026-04-04,own,POS,POS,Wendy's Burgers,BND760195795,City_001,STORE_001,Store_001,DELIVERED,routed,SUBP2694120600632494,PRD751167771,Product_001,PROD_001,Burger - Smoky Chipotle Chicken Burger,189.0,EACH,1.0,19415.0,INV_005,Inventory_005,1.0,8.11,8.11,8.11,8.11,1,1,Delhi,AreaManager_001,ZonalManager_001
69412060980964,2026-04-04,own,POS,POS,Wendy's Burgers,BND760195795,City_001,STORE_001,Store_001,DELIVERED,routed,SUBP2694120600632494,PRD751167771,Product_001,PROD_001,Burger - Smoky Chipotle Chicken Burger,189.0,EACH,1.0,22005.0,INV_006,Inventory_006,1.0,0.77,0.7,0.77,0.7,1,1,Delhi,AreaManager_001,ZonalManager_001
69412060980964,2026-04-04,own,POS,POS,Wendy's Burgers,BND760195795,City_001,STORE_001,Store_001,DELIVERED,routed,SUBP2694120600632494,PRD751167771,Product_001,PROD_001,Burger - Smoky Chipotle Chicken Burger,189.0,GRAMS,1000.0,39.0,INV_007,Inventory_007,0.01792,59.0,59.0,1.05728,1.05728,1,1,Delhi,AreaManager_001,ZonalManager_001
69412060980964,2026-04-04,own,POS,POS,Wendy's Burgers,BND760195795,City_001,STORE_001,Store_001,DELIVERED,routed,SUBP2694120600632494,PRD751167771,Product_001,PROD_001,Burger - Smoky Chipotle Chicken Burger,189.0,GRAMS,1000.0,4402.0,INV_008,Inventory_008,0.0021,74.0,74.0,0.1554,0.1554,1,1,Delhi,AreaManager_001,ZonalManager_001
69412060980964,2026-04-04,own,POS,POS,Wendy's Burgers,BND760195795,City_001,STORE_001,Store_001,DELIVERED,routed,SUBP2694120600632494,PRD751167771,Product_001,PROD_001,Burger - Smoky Chipotle Chicken Burger,189.0,GRAMS,1000.0,9443.0,INV_009,Inventory_009,0.016,132.0,132.0,2.112,2.112,1,1,Delhi,AreaManager_001,ZonalManager_001
69412060980964,2026-04-04,own,POS,POS,Wendy's Burgers,BND760195795,City_001,STORE_001,Store_001,DELIVERED,routed,SUBP2694120600632494,PRD751167771,Product_001,PROD_001,Burger - Smoky Chipotle Chicken Burger,189.0,GRAMS,1000.0,9460.0,INV_010,Inventory_010,0.03,174.04,157.5,5.2212,4.725,1,1,Delhi,AreaManager_001,ZonalManager_001
